iter	RMSE
0	1.252340796
1	1.176396504
2	1.109878159
3	1.048087137
4	0.9963392786
5	0.9338018454
6	0.8926572178
7	0.8582512858
8	0.8206896085
9	0.7737358596
10	0.7426358122
11	0.7251356667
12	0.6980853844
13	0.6744288838
14	0.6597937276
15	0.6389580234
16	0.6168189071
17	0.5970785867
18	0.5822676755
19	0.5648620083
20	0.5469905026
21	0.5365764402
22	0.5236890898
23	0.5134560152
24	0.4990618255
25	0.4851350071
26	0.4730659093
27	0.4584687383
28	0.4458942946
29	0.438091059
30	0.4277506008
31	0.4174297264
32	0.4077055084
33	0.3963070427
34	0.3885110137
35	0.3811205587
36	0.3753468266
37	0.373677221
38	0.368198776
39	0.3624159845
40	0.3548105944
41	0.3456108027
42	0.3417281721
43	0.3364753111
44	0.3315560648
45	0.3276019976
46	0.3239240633
47	0.3199972487
48	0.308760745
49	0.2981186127
50	0.2943539365
51	0.2932348589
52	0.2857402897
53	0.2797826819
54	0.2771347663
55	0.2744480904
56	0.2720335709
57	0.2657031903
58	0.26312817
59	0.2592859212
60	0.2565285616
61	0.247043737
62	0.2417812292
63	0.2350509511
64	0.2243184659
65	0.2233502706
66	0.2217411358
67	0.2190030135
68	0.2135274741
69	0.2115837233
70	0.2100850247
71	0.2027370829
72	0.1995964949
73	0.1961359197
74	0.1885258746
75	0.182367054
76	0.1810562616
77	0.1795671914
78	0.1737479836
79	0.1725270964
80	0.1702017395
81	0.1674076212
82	0.1649630939
83	0.1625419874
84	0.1596640627
85	0.1535602881
86	0.1480126439
87	0.1435559243
88	0.1376909161
89	0.1359727723
90	0.1326936999
91	0.1283839345
92	0.1268921163
93	0.1232735535
94	0.1201058958
95	0.1182004509
96	0.1145481573
97	0.1132922889
98	0.110506327
99	0.1091910295
100	0.1072553762
101	0.1064066923
102	0.1048660775
103	0.1022964027
104	0.09965556333
105	0.09802065061
106	0.09714407593
107	0.09603714836
108	0.09354743396
109	0.09075839319
110	0.08932187555
111	0.08875916
112	0.08828384443
113	0.08657539059
114	0.08602247705
115	0.08537153224
116	0.08476626866
117	0.08303269133
118	0.08134093306
119	0.07925161475
120	0.07848956585
121	0.07799023002
122	0.07748953812
123	0.07713394368
124	0.07675670321
125	0.07503123874
126	0.07343197515
127	0.07145445529
128	0.0702521612
129	0.06995710479
130	0.06932373227
131	0.06748152015
132	0.06559735874
133	0.06518686762
134	0.06425840078
135	0.0620593614
136	0.0617201676
137	0.06132744691
138	0.06093185891
139	0.06057176846
140	0.0592631878
141	0.05904754795
142	0.05892268162
143	0.05737777161
144	0.05634884888
145	0.05577567608
146	0.05551435557
147	0.05422263792
148	0.05257072264
149	0.05155134379
