direction,scan_time_kst,out_symbol,out_score,in_symbol,in_score,score_gap
long,2026-06-01 10:00:00,AIAUSDT,52.36,LABUSDT,74.85,22.49
short,2026-06-02 00:00:00,STGUSDT,58.95,HUSDT,69.54,10.59
short,2026-06-02 18:00:00,HUSDT,69.54,SKYAIUSDT,81.6,12.06
long,2026-06-03 10:00:00,STGUSDT,65.61,DEXEUSDT,71.63,6.02
short,2026-06-07 18:00:00,AIAUSDT,71.67,HOMEUSDT,79.6,7.93
long,2026-06-07 20:00:00,DEXEUSDT,71.63,SIRENUSDT,78.73,7.1
long,2026-06-10 16:00:00,LABUSDT,74.85,ESPORTSUSDT,84.06,9.21
short,2026-06-14 22:00:00,HOMEUSDT,79.6,HUSDT,89.37,9.77
