label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
max_up_1h,1h max favorable excursion,mfe,,catboost_ranker,,60,12,1.7468,5.2088,1.7468,38.33,45.0,38.33,1.6579,2.5838,-36.8586,100.0,1.7468,8.7342,0.7686,1.0,0.8333,0.75,0.45,0.75,0.9167,1.0,weekly,2026-06-14
max_up_1h,1h max favorable excursion,mfe,,catboost_ranker,,60,12,2.8031,7.1469,2.8031,36.67,50.0,36.67,2.0421,3.6602,-34.5512,100.0,2.8031,14.0154,0.786,1.0,0.9167,0.7917,0.5,0.8333,0.9444,1.0,weekly,2026-06-15
max_up_1h,1h max favorable excursion,mfe,,catboost_ranker,walk_forward,272,55,3.8021,6.8634,3.8021,47.43,59.56,47.43,6.8439,14.7236,-36.8586,100.0,3.8021,18.8032,0.9577,0.6879,1.0,0.9909,0.5891,0.9879,1.0,1.0,,
max_up_2h,2h max favorable excursion,mfe,max_up_2h,catboost_ranker,blind,272,55,4.4558,7.5423,4.4558,51.47,54.04,51.47,8.4968,20.8916,-36.5195,100.0,4.4558,22.036,0.8336,1.0,0.9091,0.8545,0.5345,0.897,0.9515,1.0,blind_holdout,
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,272,55,4.4558,7.5423,4.4558,51.47,54.04,51.47,8.4968,20.8916,-36.5195,100.0,4.4558,22.036,0.8336,1.0,0.9091,0.8545,0.5345,0.897,0.9515,1.0,monthly,2026-06
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,35,7,6.8371,11.404,6.8371,71.43,48.57,71.43,4.1343,11.2635,-17.0784,100.0,6.8371,34.1856,0.6152,1.0,0.5714,0.6429,0.4857,0.8095,0.7619,1.0,weekly,2026-06-11
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,60,12,6.9666,11.0921,6.9666,65.0,50.0,65.0,5.7981,34.3125,-16.5477,100.0,6.9666,34.8328,0.725,1.0,0.8333,0.8333,0.5,0.8333,0.9167,1.0,weekly,2026-06-12
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,57,12,3.3504,4.6188,3.3504,42.11,57.89,42.11,4.5867,23.4924,-6.3609,100.0,3.3504,15.9145,0.9297,1.0,1.0,0.9583,0.55,0.9444,1.0,1.0,weekly,2026-06-13
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,60,12,2.3091,5.0738,2.3091,46.67,53.33,46.67,2.2304,3.4372,-36.5195,100.0,2.3091,11.5455,0.9085,1.0,1.0,0.875,0.5333,0.8889,1.0,1.0,weekly,2026-06-14
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,,60,12,3.7528,7.132,3.7528,40.0,58.33,40.0,3.1064,7.2053,-25.6491,100.0,3.7528,18.7638,0.8988,1.0,1.0,0.875,0.5833,0.9722,1.0,1.0,weekly,2026-06-15
max_up_2h,2h max favorable excursion,mfe,,catboost_ranker,walk_forward,272,55,4.4558,7.5423,4.4558,51.47,52.94,51.47,8.4968,20.8916,-36.5195,100.0,4.4558,22.036,0.8409,0.7892,0.9273,0.8455,0.5236,0.8788,0.9606,1.0,,
max_up_6h,6h max favorable excursion,mfe,max_up_6h,catboost_ranker,blind,272,55,4.5729,7.6036,4.5729,54.78,58.82,54.78,8.6094,22.3682,-37.0909,100.0,4.5729,22.6151,0.9405,1.0,1.0,0.9545,0.5818,0.9758,1.0,1.0,blind_holdout,
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,272,55,4.5729,7.6036,4.5729,54.78,58.82,54.78,8.6094,22.3682,-37.0909,100.0,4.5729,22.6151,0.9405,1.0,1.0,0.9545,0.5818,0.9758,1.0,1.0,monthly,2026-06
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,35,7,7.6795,12.7372,7.6795,71.43,57.14,71.43,4.69,14.3951,-17.0784,100.0,7.6795,38.3973,0.8449,1.0,1.0,0.9286,0.5714,0.9524,1.0,1.0,weekly,2026-06-11
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,60,12,7.1369,11.7679,7.1369,70.0,60.0,70.0,5.6389,23.4236,-19.8651,100.0,7.1369,35.6845,0.9665,1.0,1.0,0.9583,0.6,1.0,1.0,1.0,weekly,2026-06-12
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,57,12,2.8602,4.246,2.8602,43.86,57.89,43.86,3.4605,9.0028,-14.6415,100.0,2.8602,13.5859,0.9366,1.0,1.0,0.9583,0.55,0.9444,1.0,1.0,weekly,2026-06-13
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,60,12,2.6518,4.823,2.6518,48.33,58.33,48.33,2.8457,4.8987,-37.0909,100.0,2.6518,13.2589,0.9521,1.0,1.0,0.9167,0.5833,0.9722,1.0,1.0,weekly,2026-06-14
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,,60,12,3.745,6.5831,3.745,46.67,60.0,46.67,3.0824,7.132,-28.0307,100.0,3.745,18.725,0.9625,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-15
max_up_6h,6h max favorable excursion,mfe,,catboost_ranker,walk_forward,272,55,4.5729,7.6036,4.5729,54.78,54.04,54.78,8.6094,22.3682,-37.0909,100.0,4.5729,22.6151,0.8816,0.8879,0.9636,0.8727,0.5345,0.897,0.9773,1.0,,
max_up_12h,12h max favorable excursion,mfe,max_up_12h,catboost_ranker,blind,272,55,4.211,7.8626,4.211,50.37,56.25,50.37,7.8117,19.6937,-37.9163,100.0,4.211,20.8253,0.9032,1.0,0.9818,0.9364,0.5564,0.9333,0.9909,1.0,blind_holdout,
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,272,55,4.211,7.8626,4.211,50.37,56.25,50.37,7.8117,19.6937,-37.9163,100.0,4.211,20.8253,0.9032,1.0,0.9818,0.9364,0.5564,0.9333,0.9909,1.0,monthly,2026-06
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,35,7,7.2228,11.4181,7.2228,68.57,54.29,68.57,4.3646,13.5549,-17.1896,100.0,7.2228,36.1141,0.8297,1.0,1.0,0.9286,0.5429,0.9048,1.0,1.0,weekly,2026-06-11
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,60,12,7.242,11.6906,7.242,68.33,56.67,68.33,5.9437,34.8397,-9.9589,100.0,7.242,36.2099,0.9069,1.0,0.9167,0.9583,0.5667,0.9444,0.9583,1.0,weekly,2026-06-12
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,57,12,2.039,4.2876,2.039,31.58,56.14,31.58,2.4558,6.6258,-16.1535,100.0,2.039,9.6854,0.9129,1.0,1.0,0.9167,0.5333,0.9167,1.0,1.0,weekly,2026-06-13
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,60,12,2.3399,6.3788,2.3399,50.0,56.67,50.0,2.2955,3.6092,-37.9163,100.0,2.3399,11.6994,0.9503,1.0,1.0,0.9583,0.5667,0.9444,1.0,1.0,weekly,2026-06-14
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,,60,12,3.3576,7.0192,3.3576,40.0,56.67,40.0,2.7345,6.4151,-24.937,100.0,3.3576,16.7882,0.8858,1.0,1.0,0.9167,0.5667,0.9444,1.0,1.0,weekly,2026-06-15
max_up_12h,12h max favorable excursion,mfe,,catboost_ranker,walk_forward,272,55,4.211,7.8626,4.211,50.37,44.85,50.37,7.8117,19.6937,-37.9163,100.0,4.211,20.8253,0.775,0.7564,0.8727,0.7364,0.4436,0.7455,0.9288,1.0,,
return_30m,30m close return,return,return_30m,catboost_ranker,blind,272,55,3.9613,6.0408,3.9613,43.75,30.51,43.75,8.6771,26.1202,-44.6845,100.0,3.9613,19.5903,0.4926,1.0,0.6545,0.5273,0.3018,0.5091,0.7661,0.8909,blind_holdout,
return_30m,30m close return,return,,catboost_ranker,,272,55,3.9613,6.0408,3.9613,43.75,30.51,43.75,8.6771,26.1202,-44.6845,100.0,3.9613,19.5903,0.4926,1.0,0.6545,0.5273,0.3018,0.5091,0.7661,0.8909,monthly,2026-06
return_30m,30m close return,return,,catboost_ranker,,35,7,6.2562,9.5075,6.2562,62.86,25.71,62.86,4.479,15.6696,-13.2878,100.0,6.2562,31.281,0.3886,1.0,0.5714,0.4286,0.2571,0.4286,0.699,0.8571,weekly,2026-06-11
return_30m,30m close return,return,,catboost_ranker,,60,12,4.9002,6.5533,4.9002,53.33,25.0,53.33,4.464,20.4819,-11.1364,100.0,4.9002,24.501,0.2798,1.0,0.4167,0.375,0.25,0.4167,0.6239,0.8333,weekly,2026-06-12
return_30m,30m close return,return,,catboost_ranker,,57,12,2.5699,4.25,2.5699,31.58,35.09,31.58,3.5737,16.9854,-6.4516,100.0,2.5699,12.2073,0.5606,1.0,0.75,0.6667,0.3333,0.5833,0.8426,0.9167,weekly,2026-06-13
return_30m,30m close return,return,,catboost_ranker,,60,12,2.1126,3.2022,2.1126,30.0,31.67,30.0,2.5311,4.4817,-44.6845,100.0,2.1126,10.5632,0.5622,1.0,0.6667,0.5,0.3167,0.5278,0.7778,1.0,weekly,2026-06-14
return_30m,30m close return,return,,catboost_ranker,,60,12,4.854,8.1354,4.854,48.33,33.33,48.33,4.662,14.4646,-20.0454,100.0,4.854,24.2702,0.6283,1.0,0.8333,0.625,0.3333,0.5556,0.8591,0.8333,weekly,2026-06-15
return_30m,30m close return,return,,catboost_ranker,walk_forward,272,55,3.9613,6.0408,3.9613,43.75,60.29,43.75,8.6771,26.1202,-44.6845,100.0,3.9613,19.5903,0.9651,0.5377,1.0,1.0,0.5964,1.0,1.0,1.0,,
return_1h,1h close return,return,return_1h,catboost_ranker,blind,272,55,4.6376,7.5966,4.6376,50.0,37.13,50.0,9.9799,31.5338,-38.3219,100.0,4.6376,22.935,0.5844,1.0,0.7818,0.6364,0.3673,0.6182,0.8665,0.9818,blind_holdout,
