rule_id,rule_expr,direction,cluster_id,activation_conditions,preferred_regime,avoid_regime,volatility_preference,trend_preference,time_preference,expected_holding_profile,confidence,sample_size,avg_return_2h,precision_pct,status_tags,discovery_decision
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.125),long,bull_trend,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate|momentum_hybrid,
EX_OR_E_direction_confidence_gte_0.5648_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.25),long,bull_trend,(direction_confidence >= 0.5648 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate|momentum_hybrid,
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.125),long,bull_trend,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.125),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate|momentum_hybrid,
EX_OR_E_direction_confidence_gte_0.6736_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.25),long,bull_trend,(direction_confidence >= 0.6736 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,76.19,candidate|momentum_hybrid,
EX_12,rank_obs_return_top5 >= 0.125,long,strong_breakout,rank_obs_return_top5 >= 0.125,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,discovered,
EX_13,rank_obs_return_top5 >= 0.25,long,strong_breakout,rank_obs_return_top5 >= 0.25,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,discovered,
EX_14,rank_obs_return_top5 >= 0.375,long,strong_breakout,rank_obs_return_top5 >= 0.375,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,discovered,
EX_15,rank_obs_return_top5 >= 0.5,long,strong_breakout,rank_obs_return_top5 >= 0.5,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,discovered,
EX_16,rank_obs_return_top5 >= 0.625,long,strong_breakout,rank_obs_return_top5 >= 0.625,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,discovered,
EX_17,rank_obs_return_top5 >= 0.75,long,strong_breakout,rank_obs_return_top5 >= 0.75,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,discovered,
EX_18,rank_obs_return_top5 >= 0.875,long,strong_breakout,rank_obs_return_top5 >= 0.875,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,discovered,
EX_19,rank_obs_return_top5 >= 1,long,strong_breakout,rank_obs_return_top5 >= 1,bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,discovered,
EX_20,rank(obs_return_pct) >= 0.4,long,strong_breakout,rank(obs_return_pct) >= 0.4,bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,5.8078,61.9,discovered,
EX_21,rank(obs_return_pct) >= 0.6,long,strong_breakout,rank(obs_return_pct) >= 0.6,bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.8745,57.14,discovered,
EX_22,rank(obs_return_pct) >= 0.8,long,strong_breakout,rank(obs_return_pct) >= 0.8,bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.8745,57.14,discovered,
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.25,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.25),long,strong_breakout,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.375),long,strong_breakout,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.375),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.5),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.625),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.75),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.375),long,strong_breakout,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.375),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.5),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.625),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.75),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.5),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,candidate|rank_only,
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.625),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,4.8745,57.14,rank_only,
