trade_count,scan_count,coverage_pct,hit_rate_top3_pct,avg_return_2h,median_return_2h,win_rate_2h,avg_return_4h,median_return_4h,win_rate_4h,avg_return_6h,median_return_6h,win_rate_6h,avg_return_12h,median_return_12h,win_rate_12h,return_per_day,max_drawdown,sharpe_like,return_per_coverage,stability,generalization_score,formula_id,formula_expr,kind,source,eval_split,round_id,split_type,baseline_avg_2h,beats_baseline,round_survivor
270,54,98.18,39.63,4.1207,2.9508,49.26,4.6527,3.2553,51.48,4.7223,2.8484,49.26,4.7541,2.1492,45.93,222.5172,-38.0914,7.6177,4.1971,1.4464,7.9731,SF_ATOM_31,2h_previous_body_pct >= 27.48,ast,atom,blind_temporal,,,,,
270,54,98.18,36.67,3.8212,2.8157,47.41,4.4461,3.0556,50.37,4.4351,2.9154,49.63,4.5248,1.9779,45.56,206.3433,-38.0914,7.9452,3.892,1.2372,7.9672,SF_NOT_SF_2h_current_range_pct_gte_29.928486,NOT (2h_current_range_pct >= 29.93),ast,not,blind_temporal,,,,,
270,54,98.18,39.26,3.8782,2.9508,49.26,4.3679,3.2553,51.48,4.3734,2.9154,49.63,3.7145,2.1492,45.93,209.4214,-38.0914,7.0216,3.9501,1.4248,7.9343,SF_ATOM_61,2h_previous_return_pct >= 15.4,ast,atom,blind_temporal,,,,,
270,54,98.18,38.89,4.0922,2.9291,48.89,4.4256,3.2553,51.48,4.4925,2.8484,49.26,4.3192,1.8015,45.19,220.9786,-38.0914,7.5641,4.1681,1.4091,7.929,SF_NOT_SF_2h_current_range_pct_gte_44.892729,NOT (2h_current_range_pct >= 44.89),ast,not,blind_temporal,,,,,
270,54,98.18,38.15,3.8826,2.8756,48.15,4.3974,3.0746,50.74,4.2921,2.7809,48.89,4.4926,1.9779,45.56,209.661,-38.0914,7.6481,3.9546,1.3405,7.9131,SF_NOT_SF_30m_current_body_pct_gte_15.970929,NOT (30m_current_body_pct >= 15.97),ast,not,blind_temporal,,,,,
270,54,98.18,39.26,4.1413,2.9508,49.26,4.5063,3.2553,51.48,4.5704,2.7809,48.89,4.4167,1.8015,44.81,223.6275,-38.0914,7.6592,4.2181,1.4477,7.8988,SF_ATOM_72,derived_volume_ratio >= 23.2,ast,atom,blind_temporal,,,,,
270,54,98.18,39.26,4.1413,2.9508,49.26,4.5063,3.2553,51.48,4.5704,2.7809,48.89,4.4167,1.8015,44.81,223.6275,-38.0914,7.6592,4.2181,1.4477,7.8988,SF_ATOM_74,15m_current_volume_ratio >= 23.2,ast,atom,blind_temporal,,,,,
270,54,98.18,39.26,4.1019,2.9291,48.89,4.4605,3.1566,51.11,4.512,2.7809,48.89,4.4548,1.9779,45.56,221.5012,-38.0914,7.5709,4.1779,1.4331,7.8859,SF_AND_SF_30m_current_range_pct_gte_12.1684_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,(30m_current_range_pct >= 12.17 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1019,2.9291,48.89,4.4605,3.1566,51.11,4.512,2.7809,48.89,4.4548,1.9779,45.56,221.5012,-38.0914,7.5709,4.1779,1.4331,7.8859,SF_AND_SR_1h_current_range_pct_5m_compression_15262639999.999996_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,(1h_current_range_pct/5m_compression >= 1.526e+10 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair,blind_temporal,,,,,
270,54,98.18,38.89,4.0806,2.9291,48.89,4.4838,3.2553,51.48,4.4908,2.7809,48.89,4.4242,1.8015,45.56,220.3528,-38.0914,7.5133,4.1562,1.4177,7.8825,SF_ATOM_39,5m_seq_return_sum_6 >= 11.45,ast,atom,blind_temporal,,,,,
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_2h_current_range_pct_gte_29.928486_SF_2h_previous_body_pct_gte_27.479886,(2h_current_range_pct >= 29.93 AND 2h_previous_body_pct >= 27.48),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_2h_previous_body_pct_gte_27.479886_SF_2h_current_range_pct_gte_14.964243,(2h_previous_body_pct >= 27.48 AND 2h_current_range_pct >= 14.96),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.63,4.147,2.9779,49.63,4.6724,3.295,51.85,4.7562,2.9154,49.63,4.7877,2.1492,45.93,223.9354,-38.0914,7.6611,4.2239,1.4816,7.879,SF_AND_SF_30m_current_range_pct_gte_12.1684_SF_2h_previous_body_pct_gte_27.479886,(30m_current_range_pct >= 12.17 AND 2h_previous_body_pct >= 27.48),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_15m_current_ma20_distance_pct_gte_26.750886,(15m_current_ma20_distance_pct >= 26.75 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_15m_current_return_pct_gte_10.127714,(15m_current_return_pct >= 10.13 AND 1h_current_return_pct >= 8.969 AND 2h_current_body_pct >= 27.48),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_ma20_distance_pct_gte_35.705329,(1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61 AND 2h_previous_body_pct >= 34.35),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_ma20_distance_pct_gte_51.022186,(1h_current_ma20_distance_pct >= 51.02 AND 1h_current_ma20_distance_pct >= 35.71 AND 2h_current_body_pct >= 20.61),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_return_pct_gte_18.082043,(1h_current_return_pct >= 18.08 AND (1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_1h_current_return_pct_gte_8.969214,(1h_current_return_pct >= 8.969 AND 2h_current_body_pct >= 27.48 AND 15m_current_ma20_distance_pct >= 26.75),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_2h_current_body_pct_gte_20.609914,(2h_current_body_pct >= 20.61 AND 2h_previous_body_pct >= 34.35 AND 30m_current_body_pct >= 15.97),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_2h_current_body_pct_gte_27.479886,(2h_current_body_pct >= 27.48 AND 15m_current_ma20_distance_pct >= 26.75 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND3_SF_2h_previous_body_pct_gte_34.349857,(2h_previous_body_pct >= 34.35 AND 30m_current_body_pct >= 15.97 AND derived_range_expansion >= 19.66),ast,and_triple,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308_SF_2h_previous_body_pct_gte_27.479886,((1h_current_body_pct - 1h_previous_body_pct) >= 18.78 AND 2h_previous_body_pct >= 27.48),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308_SF_2h_previous_return_pct_gte_26.298514,((1h_current_body_pct - 1h_previous_body_pct) >= 18.78 AND 2h_previous_return_pct >= 26.3),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND (1h_current_body_pct - 1h_previous_body_pct) >= 18.78),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_15m_current_ma20_distance_pct_gte_17.364729,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 15m_current_ma20_distance_pct >= 17.36),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_20.388471,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 20.39),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_35.705329,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 35.71),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_51.022186,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_27.479886,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_body_pct >= 27.48),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_34.349857,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_body_pct >= 34.35),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_return_pct_gte_26.298514,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_return_pct >= 26.3),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_previous_ma20_distance_pct_gte_39.165157,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_previous_ma20_distance_pct >= 39.17),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SF_2h_previous_body_pct_gte_27.479886,((1h_current_range_pct - 1h_previous_range_pct) >= 5.761 AND 2h_previous_body_pct >= 27.48),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_body_pct - 1h_previous_body_pct) >= 18.78),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_range_pct - 1h_previous_range_pct) >= 5.761),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_return_pct - 15m_current_return_pct) <= -12.63),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_body_pct_gte_13.6371,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_body_pct >= 13.64),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_body_pct_gte_9.0914,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_body_pct >= 9.091),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_ma20_distance_pct_gte_17.364729,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_ma20_distance_pct >= 17.36),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_ma20_distance_pct_gte_26.750886,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_ma20_distance_pct >= 26.75),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_return_pct_gte_10.127714,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_20.388471,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 20.39),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_35.705329,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 35.71),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_51.022186,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 51.02),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_return_pct_gte_8.969214,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_return_pct >= 8.969),ast,and_pair,blind_temporal,,,,,
270,54,98.18,39.26,4.1274,2.9508,49.26,4.4938,3.2553,51.48,4.5785,2.8484,49.26,4.4613,1.9779,45.56,222.8805,-38.0914,7.6215,4.2039,1.4554,7.8561,SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_body_pct_gte_13.739943,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_body_pct >= 13.74),ast,and_pair,blind_temporal,,,,,
