seq_len,model,feature_count,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split,split_type,fold_id
6,catboost_ranker,,57,12,2.7716,4.2012,2.7716,40.35,57.89,40.35,3.5232,11.0706,-10.3206,100.0,2.7716,13.1652,0.9397,0.501,1.0,1.0,0.55,0.9444,1.0,1.0,,weekly,2026-06-13
6,catboost_ranker,,60,12,2.6197,4.7051,2.6197,48.33,60.0,48.33,2.8055,4.8336,-37.2043,100.0,2.6197,13.0985,0.9822,0.4314,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-14
6,catboost_ranker,,60,12,3.7552,6.7799,3.7552,43.33,60.0,43.33,3.1066,7.212,-28.0307,100.0,3.7552,18.7762,0.9692,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
6,lightgbm_ranker,310,272,55,4.4794,7.7637,4.4794,51.1,58.82,51.1,8.4351,21.9415,-37.0473,100.0,4.4794,22.1527,0.957,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0,blind_temporal,,
6,lightgbm_ranker,,272,55,4.4794,7.7637,4.4794,51.1,58.82,51.1,8.4351,21.9415,-37.0473,100.0,4.4794,22.1527,0.957,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0,,monthly,2026-06
6,lightgbm_ranker,,35,7,7.6677,11.6158,7.6677,65.71,57.14,65.71,4.7595,15.5361,-17.0784,100.0,7.6677,38.3383,0.8707,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
6,lightgbm_ranker,,60,12,7.3721,12.126,7.3721,66.67,60.0,66.67,6.042,35.8598,-9.9589,100.0,7.3721,36.8606,0.9904,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
6,lightgbm_ranker,,57,12,2.7899,4.127,2.7899,40.35,59.65,40.35,3.6156,13.3399,-8.092,100.0,2.7899,13.2522,0.9456,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
6,lightgbm_ranker,,60,12,2.7733,5.9548,2.7733,50.0,58.33,50.0,2.9617,5.1161,-37.0473,100.0,2.7733,13.8663,0.979,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
6,lightgbm_ranker,,60,12,3.038,6.5997,3.038,38.33,58.33,38.33,2.3702,4.9739,-28.0307,100.0,3.038,15.1902,0.9634,0.3947,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-15
6,xgboost_ranker,310,272,55,4.4004,7.6493,4.4004,51.1,58.09,51.1,8.2303,21.2179,-35.8452,100.0,4.4004,21.7619,0.9496,0.3996,1.0,0.9636,0.5745,0.9636,1.0,1.0,blind_temporal,,
6,xgboost_ranker,,272,55,4.4004,7.6493,4.4004,51.1,58.09,51.1,8.2303,21.2179,-35.8452,100.0,4.4004,21.7619,0.9496,0.3996,1.0,0.9636,0.5745,0.9636,1.0,1.0,,monthly,2026-06
6,xgboost_ranker,,35,7,7.6981,11.6158,7.6981,65.71,57.14,65.71,4.799,15.5855,-17.0784,100.0,7.6981,38.4905,0.8662,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
6,xgboost_ranker,,60,12,7.3492,12.0627,7.3492,65.0,60.0,65.0,6.0124,35.7627,-9.9589,100.0,7.3492,36.746,0.9859,0.3196,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-12
6,xgboost_ranker,,57,12,2.6162,4.127,2.6162,40.35,56.14,40.35,3.3246,11.9588,-9.6311,100.0,2.6162,12.4269,0.9291,0.501,1.0,1.0,0.5333,0.9167,1.0,1.0,,weekly,2026-06-13
6,xgboost_ranker,,60,12,2.4746,5.7393,2.4746,50.0,56.67,50.0,2.5807,4.4041,-35.8452,100.0,2.4746,12.373,0.9709,0.4314,1.0,0.9583,0.5667,0.9444,1.0,1.0,,weekly,2026-06-14
6,xgboost_ranker,,60,12,3.1487,6.3544,3.1487,40.0,60.0,40.0,2.4605,5.1507,-28.0307,100.0,3.1487,15.7435,0.9611,0.3947,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-15
9,catboost_ranker,310,272,55,4.6282,7.491,4.6282,53.68,58.82,53.68,8.8308,23.6368,-35.3374,100.0,4.6282,22.8888,0.9576,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0,blind_temporal,,
9,catboost_ranker,,272,55,4.6282,7.491,4.6282,53.68,58.82,53.68,8.8308,23.6368,-35.3374,100.0,4.6282,22.8888,0.9576,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0,,monthly,2026-06
9,catboost_ranker,,35,7,7.79,11.6158,7.79,68.57,57.14,68.57,4.8681,15.784,-17.0784,100.0,7.79,38.9502,0.8707,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
9,catboost_ranker,,60,12,7.4236,12.126,7.4236,68.33,60.0,68.33,6.1017,36.1104,-9.9589,100.0,7.4236,37.1182,0.9904,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
9,catboost_ranker,,57,12,2.7094,4.127,2.7094,38.6,57.89,38.6,3.4354,10.8331,-10.3206,100.0,2.7094,12.8697,0.9427,0.501,1.0,1.0,0.55,0.9444,1.0,1.0,,weekly,2026-06-13
9,catboost_ranker,,60,12,2.7371,4.7051,2.7371,50.0,58.33,50.0,2.9516,5.0643,-33.386,100.0,2.7371,13.6853,0.9784,0.4314,1.0,0.9583,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
9,catboost_ranker,,60,12,3.7025,6.5997,3.7025,48.33,60.0,48.33,3.0106,6.8005,-35.3374,100.0,3.7025,18.5127,0.9696,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
