scenario,direction,rule_id,rule_expr,pass_count,precision,recall,lift,avg_return_2h,avg_return_4h,coverage_pct,pass_per_day,fail_count,f1,win_rate_pct,baseline_precision,precision_floor,meets_precision_floor,coverage_lift_vs_v2,rank,candidate_rule_id
current_v2,long,V2,(B AND D),8,1.0,0.1569,5.3333,27.979,32.2433,2.94,1.6,,,,,,,,,
candidate,long,OR_TH_1h_current_body_pct_gte_TH_1h_current_range_pct_gte,(1h_current_body_pct >= 18.24 OR 1h_current_range_pct >= 24.01),10,1.0,0.1961,5.3333,27.1955,33.0943,3.68,2.0,262,0.3279,100.0,1.0,0.98,True,25.0,1,
hybrid_or,long,,(V2 OR (1h_current_body_pct >= 14.62 OR 1h_current_range_pct >= 24.01)),14,0.9286,0.2549,4.9524,23.2999,28.8299,5.15,2.8,,,,,,,,,OR_TH_1h_current_body_pct_gte_TH_1h_current_range_pct_gte
current_v2,short,V2,((A AND B AND D) OR C),10,0.9,0.1957,5.3217,17.1915,17.7112,3.68,2.0,,,,,,,,,
candidate,short,AND_TH_1h_current_body_pct_gte_TH_1h_current_return_pct_lte,(1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345),14,0.9286,0.2826,5.4907,15.952,17.4416,5.15,2.8,258,0.4333,92.86,0.9,0.88,True,40.0,1,
hybrid_or,short,,(V2 OR (1h_current_body_pct >= 10.96 AND 1h_current_return_pct <= -8.345)),15,0.9333,0.3043,5.5188,15.7397,15.7337,5.51,3.0,,,,,,,,,AND_TH_1h_current_body_pct_gte_TH_1h_current_return_pct_lte
