split,model,strategy,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
,random_forest,,35,7,6.4134,8.0215,6.4134,65.71,22.86,65.71,4.0255,13.9702,-24.2659,100.0,6.4134,32.0671,0.2933,1.0,0.2857,0.2857,0.2286,0.381,0.4762,0.7143,weekly,2026-06-11
,random_forest,,60,12,5.644,8.5577,5.644,55.0,31.67,55.0,4.7655,27.3071,-9.9589,100.0,5.644,28.2202,0.4213,1.0,0.6667,0.5,0.3167,0.5278,0.7917,1.0,weekly,2026-06-12
,random_forest,,57,12,2.5106,4.7313,2.5106,35.09,40.35,35.09,3.1674,9.1736,-14.6415,100.0,2.5106,11.9256,0.6188,1.0,0.75,0.75,0.3833,0.6667,0.8417,0.9167,weekly,2026-06-13
,random_forest,,60,12,2.5861,4.8246,2.5861,41.67,38.33,41.67,2.9561,5.439,-45.9329,100.0,2.5861,12.9306,0.643,1.0,0.6667,0.625,0.3833,0.6389,0.8194,1.0,weekly,2026-06-14
,random_forest,,60,12,3.6166,6.0225,3.6166,36.67,33.33,36.67,3.5967,10.7635,-19.3594,100.0,3.6166,18.0831,0.5504,1.0,0.8333,0.625,0.3333,0.5556,0.8869,0.9167,weekly,2026-06-15
walk_forward,random_forest,,272,55,3.9646,6.287,3.9646,45.22,34.19,45.22,8.2187,24.7564,-45.9329,100.0,3.9646,19.607,0.5246,1.0,0.6727,0.5818,0.3382,0.5697,0.7893,0.9273,,
blind,extra_trees,extra_trees,272,55,4.5107,6.9615,4.5107,47.43,38.97,47.43,9.3247,31.2625,-37.1198,100.0,4.5107,22.3076,0.6061,1.0,0.6727,0.6273,0.3855,0.6485,0.8076,0.9636,,
,extra_trees,,272,55,4.5107,6.9615,4.5107,47.43,38.97,47.43,9.3247,31.2625,-37.1198,100.0,4.5107,22.3076,0.6061,1.0,0.6727,0.6273,0.3855,0.6485,0.8076,0.9636,monthly,2026-06
,extra_trees,,35,7,7.0268,9.5017,7.0268,65.71,28.57,65.71,4.8414,35.8754,-4.4657,100.0,7.0268,35.1342,0.3602,1.0,0.5714,0.4286,0.2857,0.4762,0.6844,0.8571,weekly,2026-06-11
,extra_trees,,60,12,6.3471,9.0839,6.3471,58.33,33.33,58.33,5.1756,29.5838,-18.0306,100.0,6.3471,31.7357,0.4572,1.0,0.5,0.5,0.3333,0.5556,0.7222,1.0,weekly,2026-06-12
