rule_id,rule_expr,direction,cluster_hint,act_bear_pct,n_bear,act_bull_pct,n_bull,act_sideway_pct,n_sideway,act_vol_low_volatility_pct,n_vol_low_volatility
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.75),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.5),long,candidate,50.0,4,61.54,13,75.0,4,61.9,21
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.625),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.75),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.625),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.75),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_AND_E_rank_obs_return_top5_gte_0.625_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.625 AND rank_obs_return_top5 >= 0.75),long,rank_only,50.0,4,53.85,13,75.0,4,57.14,21
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.125),long,momentum_hybrid,50.0,4,69.23,13,75.0,4,66.67,21
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.25),long,momentum_hybrid,50.0,4,69.23,13,75.0,4,66.67,21
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.125),long,discovered,75.0,4,76.92,13,75.0,4,76.19,21
