rule_id,rule_expr,direction,source,status_tags,discovery_decision,trade_count,scan_groups,coverage_pct,precision_pct,avg_return_2h,win_rate_pct,max_drawdown,return_per_day,sharpe,best_regime,worst_regime,volatility_preference,trend_preference,time_preference,blind_avg,train_avg
EX_19,rank_obs_return_top5 >= 1,long,train_rank,discovered,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_20,rank(obs_return_pct) >= 0.4,long,train_rank,discovered,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_21,rank(obs_return_pct) >= 0.6,long,train_rank,discovered,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_22,rank(obs_return_pct) >= 0.8,long,train_rank,discovered,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.25,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.25),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.375),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.5),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.625),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.75),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.375),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
