rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_score,v1_precision_baseline,live_pattern
OR_ABD_C,((A AND B AND D) OR C),short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.68,18.1343,92.86,14,110,0.1273,0.9333,7.04,short,0.4281,,SHORT_BREAKDOWN
OR_AD_BC,((A AND D) OR (B AND C)),long_all,897,22,875,0.9091,0.1117,0.199,4.5556,90.0629,27.4308,28.9218,95.45,21,180,0.1222,1.4667,2.45,long,0.4242,1.0,
OR_A_BC_D,(A OR (B AND C) OR D),short_SHORT_REVERSAL,388,12,376,1.0,0.1875,0.3158,6.0625,74.7692,19.213,25.2645,100.0,10,165,0.0727,0.8,3.09,short,0.4144,,SHORT_REVERSAL
OR_A_BD_C,(A OR (B AND D) OR C),short_SHORT_REVERSAL,388,12,376,1.0,0.1875,0.3158,6.0625,74.7692,19.6092,23.9246,100.0,10,165,0.0727,0.8,3.09,short,0.4144,,SHORT_REVERSAL
AND_AD,(A AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0,
AND_ABD,(A AND B AND D),long_all,897,21,876,0.9048,0.1061,0.19,4.5339,85.025,27.5112,29.4789,95.24,20,180,0.1167,1.4,2.34,long,0.4139,1.0,
OR_AB_CD,((A AND B) OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,0.4122,,SHORT_BREAKDOWN
OR_A_B_CD,(A OR B OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,0.4122,,SHORT_BREAKDOWN
AND_BD,(B AND D),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,0.4115,,LONG_BREAKOUT
OR_AC_BD,((A AND C) OR (B AND D)),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,0.4115,,LONG_BREAKOUT
AND_B,B,long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
OR_ACD_B,((A AND C AND D) OR B),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
OR_AC_B_D,((A AND C) OR B OR D),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
OR_AD_B_C,((A AND D) OR B OR C),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
OR_A_B_CD,(A OR B OR (C AND D)),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
OR_A_B_C_D,(A OR B OR C OR D),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,0.4083,,LONG_CONTINUATION
AND_D,D,short_SHORT_REVERSAL,388,11,377,1.0,0.1719,0.2933,6.0625,67.2453,18.2447,24.8025,100.0,9,165,0.0667,0.7333,2.84,short,0.4007,,SHORT_REVERSAL
OR_ABC_D,((A AND B AND C) OR D),short_SHORT_REVERSAL,388,11,377,1.0,0.1719,0.2933,6.0625,67.2453,18.2447,24.8025,100.0,9,165,0.0667,0.7333,2.84,short,0.4007,,SHORT_REVERSAL
AND_A,A,long_LONG_BREAKOUT,312,13,299,0.9231,0.1765,0.2963,4.2353,52.0714,29.6159,32.3895,92.31,13,150,0.0867,0.8667,4.17,long,0.3969,,LONG_BREAKOUT
AND_AB,(A AND B),long_LONG_BREAKOUT,312,13,299,0.9231,0.1765,0.2963,4.2353,52.0714,29.6159,32.3895,92.31,13,150,0.0867,0.8667,4.17,long,0.3969,,LONG_BREAKOUT
OR_A_BCD,(A OR (B AND C AND D)),long_LONG_BREAKOUT,312,13,299,0.9231,0.1765,0.2963,4.2353,52.0714,29.6159,32.3895,92.31,13,150,0.0867,0.8667,4.17,long,0.3969,,LONG_BREAKOUT
AND_A,A,short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,0.396,,SHORT_BREAKDOWN
AND_B,B,short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,0.396,,SHORT_BREAKDOWN
AND_AB,(A AND B),short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,0.396,,SHORT_BREAKDOWN
OR_ACD_B,((A AND C AND D) OR B),short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,0.396,,SHORT_BREAKDOWN
OR_A_BCD,(A OR (B AND C AND D)),short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,0.396,,SHORT_BREAKDOWN
AND_C,C,short_SHORT_BREAKDOWN,199,10,189,1.0,0.1754,0.2985,3.4912,30.2128,18.2802,19.2845,100.0,10,110,0.0909,0.6667,5.03,short,0.3956,,SHORT_BREAKDOWN
AND_A,A,short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,20.4015,28.402,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
AND_AB,(A AND B),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,20.4015,28.402,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
AND_BD,(B AND D),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,19.2678,26.4925,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
OR_ABD_C,((A AND B AND D) OR C),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,18.692,24.5496,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
OR_AB_CD,((A AND B) OR (C AND D)),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,20.4015,28.402,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
OR_AC_BD,((A AND C) OR (B AND D)),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,19.2678,26.4925,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
OR_A_BCD,(A OR (B AND C AND D)),short_SHORT_REVERSAL,388,10,378,1.0,0.1562,0.2703,6.0625,60.0,20.4015,28.402,100.0,8,165,0.0606,0.6667,2.58,short,0.387,,SHORT_REVERSAL
AND_AD,(A AND D),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,0.382,,LONG_BREAKOUT
AND_ABD,(A AND B AND D),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,0.382,,LONG_BREAKOUT
OR_AD_BC,((A AND D) OR (B AND C)),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,0.382,,LONG_BREAKOUT
AND_AD,(A AND D),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,0.3795,,SHORT_BREAKDOWN
AND_BD,(B AND D),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,0.3795,,SHORT_BREAKDOWN
