direction,from_state,to_state,transition_count,transition_probability_pct,avg_return_at_transition_pct,avg_duration_in_from_state_min
short,EARLY_BREAKOUT,EXHAUSTION,23,2.11,2.0554,17.61
short,EARLY_BREAKOUT,FAKE_BREAKOUT,36,3.3,1.2072,17.5
short,EARLY_BREAKOUT,HEALTHY_TREND,38,3.49,6.3964,18.16
short,EARLY_BREAKOUT,PULLBACK,58,5.32,5.0518,15.78
short,EARLY_BREAKOUT,REVERSAL,66,6.06,-3.7269,16.36
short,EARLY_BREAKOUT,WEAK_TREND,229,21.01,1.7532,15.72
short,EXHAUSTION,ACCELERATION,568,30.64,5.944,17.8
short,EXHAUSTION,EXIT,51,2.75,5.337,5.0
short,EXHAUSTION,FAKE_BREAKOUT,465,25.08,2.6015,19.9
short,EXHAUSTION,HEALTHY_TREND,55,2.97,2.7328,18.55
short,EXHAUSTION,PULLBACK,637,34.36,6.3315,21.22
short,EXHAUSTION,REVERSAL,78,4.21,-0.7851,18.65
short,FAKE_BREAKOUT,ACCELERATION,638,30.31,4.2138,41.07
short,FAKE_BREAKOUT,EARLY_BREAKOUT,1,0.05,1.1748,15.0
short,FAKE_BREAKOUT,EXIT,113,5.37,2.0758,46.86
short,FAKE_BREAKOUT,HEALTHY_TREND,40,1.9,3.0623,19.12
short,FAKE_BREAKOUT,PULLBACK,426,20.24,3.8306,28.77
short,FAKE_BREAKOUT,REVERSAL,884,42.0,-1.3014,37.47
short,FAKE_BREAKOUT,WEAK_TREND,3,0.14,0.8056,25.0
short,HEALTHY_TREND,ACCELERATION,922,34.17,9.6586,19.59
short,HEALTHY_TREND,DEAD,1,0.04,0.0,15.0
short,HEALTHY_TREND,EARLY_BREAKOUT,3,0.11,1.3764,15.0
short,HEALTHY_TREND,EXHAUSTION,93,3.45,2.6664,18.39
short,HEALTHY_TREND,EXIT,42,1.56,10.2633,5.0
short,HEALTHY_TREND,FAKE_BREAKOUT,63,2.34,1.3774,16.19
short,HEALTHY_TREND,PULLBACK,579,21.46,10.5209,17.9
short,HEALTHY_TREND,REVERSAL,19,0.7,-2.2772,16.58
short,HEALTHY_TREND,WEAK_TREND,976,36.17,7.1446,19.35
short,PULLBACK,ACCELERATION,2284,50.91,11.0795,30.38
short,PULLBACK,EXHAUSTION,1089,24.28,5.5949,29.16
short,PULLBACK,EXIT,212,4.73,13.1574,25.54
short,PULLBACK,FAKE_BREAKOUT,415,9.25,2.4333,20.39
short,PULLBACK,HEALTHY_TREND,403,8.98,8.0675,24.08
short,PULLBACK,REVERSAL,71,1.58,-0.9194,20.28
short,PULLBACK,WEAK_TREND,12,0.27,0.2908,18.75
short,REVERSAL,ACCELERATION,194,15.37,3.2801,67.42
short,REVERSAL,DEAD,4,0.32,-0.866,168.75
short,REVERSAL,EARLY_BREAKOUT,3,0.24,0.4579,20.0
short,REVERSAL,EXIT,271,21.47,-12.5727,322.36
short,REVERSAL,FAKE_BREAKOUT,673,53.33,0.8233,65.08
short,REVERSAL,HEALTHY_TREND,11,0.87,2.4056,77.73
short,REVERSAL,PULLBACK,66,5.23,1.1078,48.86
short,REVERSAL,WEAK_TREND,40,3.17,-0.8481,77.25
short,WEAK_TREND,ACCELERATION,1788,58.17,7.4635,18.41
short,WEAK_TREND,DEAD,9,0.29,0.0457,20.0
short,WEAK_TREND,EARLY_BREAKOUT,4,0.13,0.0486,15.0
short,WEAK_TREND,EXHAUSTION,101,3.29,2.1115,20.94
short,WEAK_TREND,EXIT,60,1.95,8.9406,5.75
short,WEAK_TREND,FAKE_BREAKOUT,94,3.06,1.1402,20.27
short,WEAK_TREND,HEALTHY_TREND,258,8.39,5.2819,26.92
short,WEAK_TREND,PULLBACK,684,22.25,7.6055,19.61
short,WEAK_TREND,REVERSAL,76,2.47,-2.0165,30.2
