rule_id,rule_expr,direction,cluster_id,expr_clusters,empirical_cluster,cluster_members,best_regime,volatility_preference,avg_return_2h,trade_count,status_tags
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.375),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.125 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.375,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.375),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.5),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,candidate|rank_only
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
