strategy,label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3
baseline_label,baseline_max_up_4h,Baseline max_up_4h (Ranking V1),baseline,max_up_4h,catboost_ranker,blind,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0
best_return_minus_dd,return_minus_dd,Return + drawdown (2h),risk_adjusted,return_minus_dd,catboost_ranker,blind,272,55,5.2608,8.5783,5.2608,54.78,45.59,54.78,11.149,39.599,-34.9749,100.0,5.2608,26.0172,0.7414,1.0,0.8727,0.7636,0.4509,0.7576,0.9233,1.0
