strategy,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,model,seq_len,feature_count
ranking_v1_snapshot,272,55,4.7902,7.5366,4.7902,52.94,59.93,52.94,9.1936,25.3166,-34.5881,100.0,4.7902,23.6898,0.9664,1.0,1.0,0.9909,0.5927,0.9939,1.0,1.0,ranking_v1_snapshot,1,
temporal_catboost_ranker,272,55,4.6368,7.6991,4.6368,52.94,59.56,52.94,8.8539,23.9043,-31.8303,100.0,4.6368,22.9309,0.9595,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,catboost_ranker,12,310
