rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_pattern,live_score
AND_ABCD,(A AND B AND C AND D),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,SHORT_BREAKDOWN,0.3519
OR_ABC_D,((A AND B AND C) OR D),short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.3302,17.5902,92.86,14,110,0.1273,0.9333,7.04,short,SHORT_BREAKDOWN,0.4281
OR_ABD_C,((A AND B AND D) OR C),short_SHORT_BREAKDOWN,199,14,185,0.9286,0.2281,0.3662,3.2419,41.6591,17.68,18.1343,92.86,14,110,0.1273,0.9333,7.04,short,SHORT_BREAKDOWN,0.4281
OR_AB_CD,((A AND B) OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,SHORT_BREAKDOWN,0.4122
OR_AB_C_D,((A AND B) OR C OR D),short_SHORT_BREAKDOWN,199,17,182,0.9412,0.2807,0.4324,3.2859,55.0244,16.1832,16.6194,94.12,17,110,0.1545,1.1333,8.54,short,SHORT_BREAKDOWN,0.4749
OR_ACD_B,((A AND C AND D) OR B),short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,SHORT_BREAKDOWN,0.396
OR_AC_BD,((A AND C) OR (B AND D)),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,SHORT_BREAKDOWN,0.3795
OR_AC_B_D,((A AND C) OR B OR D),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,16.9158,17.0608,93.33,15,110,0.1364,1.0,7.54,short,SHORT_BREAKDOWN,0.4438
OR_AD_BC,((A AND D) OR (B AND C)),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,SHORT_BREAKDOWN,0.3795
OR_A_BCD,(A OR (B AND C AND D)),short_SHORT_BREAKDOWN,199,12,187,0.9167,0.193,0.3188,3.2003,33.7174,19.2074,19.4272,91.67,12,110,0.1091,0.8,6.03,short,SHORT_BREAKDOWN,0.396
OR_A_BC_D,(A OR (B AND C) OR D),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,16.9158,17.0608,93.33,15,110,0.1364,1.0,7.54,short,SHORT_BREAKDOWN,0.4438
OR_AD_B_C,((A AND D) OR B OR C),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,17.2423,17.5687,93.33,15,110,0.1364,1.0,7.54,short,SHORT_BREAKDOWN,0.4438
OR_A_BD_C,(A OR (B AND D) OR C),short_SHORT_BREAKDOWN,199,15,184,0.9333,0.2456,0.3889,3.2585,45.907,17.2423,17.5687,93.33,15,110,0.1364,1.0,7.54,short,SHORT_BREAKDOWN,0.4438
OR_A_B_CD,(A OR B OR (C AND D)),short_SHORT_BREAKDOWN,199,13,186,0.9231,0.2105,0.3429,3.2227,37.6,18.2506,18.2241,92.31,13,110,0.1182,0.8667,6.53,short,SHORT_BREAKDOWN,0.4122
OR_A_B_C_D,(A OR B OR C OR D),short_SHORT_BREAKDOWN,199,17,182,0.9412,0.2807,0.4324,3.2859,55.0244,16.1832,16.6194,94.12,17,110,0.1545,1.1333,8.54,short,SHORT_BREAKDOWN,0.4749
