formula_id,formula_expr,kind,pass_bonus,source,linear_terms
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_15m_current_body_pct_gte_13.6371,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 15m_current_body_pct >= 13.64),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_15m_current_body_pct_gte_9.0914,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 15m_current_body_pct >= 9.091),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_15m_current_ma20_distance_pct_gte_17.364729,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 15m_current_ma20_distance_pct >= 17.36),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_20.388471,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 20.39),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_35.705329,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 35.71),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_51.022186,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_ma20_distance_pct >= 51.02),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_current_body_pct_gte_13.739943,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_current_body_pct >= 13.74),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_current_body_pct_gte_20.609914,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_current_body_pct >= 20.61),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_current_range_pct_gte_14.964243,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_current_range_pct >= 14.96),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_current_range_pct_gte_29.928486,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_current_range_pct >= 29.93),ast,50.0,and_pair,[]
